topic,text,RT,time,swear_words,hate
#ForaArthur,"A Bonita escapou mais uma vez. Agora vamos de #ForaArthur porque já passou muito da hora dele, né?",1,2021-04-26 02:45:55,0,1
#ForaArthur,"Juliette falando que não está triste porque tem certeza que a Camilla volta. Ela não pode sair, sigam o posicionamento do perfil oficial. 
#FicaCamilla #ForaArthur",1,2021-04-26 02:45:55,0,0
#ForaArthur,"SINCERAMENTE, SOU #ForaArthur!!!! E vamos de #FicaCamilla.",1,2021-04-26 02:45:55,0,1
#ForaArthur,"Sterellas que gostam da Pocah, vamos de #ForaArthur 🤒🙏",1,2021-04-26 02:45:55,0,1
#ForaArthur,"Juliette falando que não está triste porque tem certeza que a Camilla volta. Ela não pode sair, sigam o posicionamento do perfil oficial. 
#FicaCamilla #ForaArthur",1,2021-04-26 02:45:55,0,0
#ForaArthur,Arthur é patético!!!! #ForaArthur,0,2021-04-26 02:45:55,0,0
#ForaArthur,"Obvio que #ForaArthur 
Quem está comigo da rt aqui",1,2021-04-26 02:45:55,0,1
#ForaArthur,"00:00 vai rolar um mutirão aqui com @camilladelucas. Quero todo mundo participando, bora? #ForaArthur",1,2021-04-26 02:45:55,1,1
#ForaArthur,"não se esqueçam de quando o arthur riu do nego di falando que se masturbaria do lado da carla, pq n iria aguentar dormir do lado dela. 
#foraarthur #bbb21 https://t.co/GHMrBmE859",1,2021-04-26 02:45:55,1,0
#ForaArthur,"As enquetes remete ao voto do público do sofá galera, se continuarem focados e votando no Arthur, pode rolar uma reviravolta SIM. Basta ter FOCO. #ForaArthur",1,2021-04-26 02:45:55,1,0
#ForaArthur,"00:00 vai rolar um mutirão aqui com @camilladelucas. Quero todo mundo participando, bora? #ForaArthur",1,2021-04-26 02:45:55,1,1
#ForaArthur,Mamãe pediu....  #ForaArthur #BBB21 https://t.co/IcAhvxRo3p,1,2021-04-26 02:45:55,0,1
#ForaArthur,"90 dias do Arthur sendo escroto, machista e ignorante: 😡😠🤬😤😤😡😡😡😡

3 dias do Arthur batendo na bunda do Gilberto: 😍🥰😍🥰☺️😘😍❤️❤️❤️

cês são muito engraçados #ForaArthur #BBB21",1,2021-04-26 02:45:55,2,1
