data,Hate_speech,length,laughs,bad_words,misspell
"['com', 'mel', 'mord', 'marimb']",0,32,0,0,1
"['pint', 'orgulh']",0,28,0,1,0
"['vê', 'merd', 'crepúscul', 'pra', 'cinebiograf', 'chuck', 'noril']",0,83,0,1,2
"['tap', 'bund', 'cotovel', 'cost']",0,51,0,1,0
"['diminu', 'inh', 'acompanh', 'trajetór', 'hom', 'verdad']",1,68,0,0,1
"['um', 'sac', 'culh']",0,51,0,1,0
"['futebol', 'hoj', 'politic', 'corret', 'profiss', 'cois', 'hom', 'verdadeé', 'mariquinhafutebol', 'ter', 'porr']",1,140,0,3,2
"['águ', 'ser', 'essenc', 'cois', 'maric', 'cervej', 'essenc']",1,60,0,1,0
"['barrig', 'cal', 'sex']",0,40,0,0,0
"['mand', 'ajust', 'calç', 'deix', 'espaç', 'pra', 'smith', 'weson', 'entr', 'açã']",0,87,0,0,1
"['mort', 'hipst', 'camiset', 'cor', 'citr', 'mort', 'mei', 'colorid', 'cueq', 'alegr']",0,104,0,0,2
"['@', 'homemdeverdad', 'namor', 'fême', 'temporár']",1,55,0,0,0
"['apes', 'ser', 'austral', 'acdc', 'band', 'hom', 'verdad']",0,69,0,0,2
"['@', 'homemdeverdad', 'com', 'frang', 'cru', 'nao', 'pass']",0,54,0,0,0
"['fat', 'muit', 'mulh', '@', 'homemdeverdad', 'maric', 'fresc', 'ai']",1,95,0,1,1
"['@', 'homemdeverdad', 'usa', 'cap', 'chuv', '@', 'homemdeverdad', 'nad', 'tsunam']",1,73,0,0,0
"['gost', 'acdc', '@', 'fodem', '@', 'homemdeverdad']",1,58,0,0,1
"['jamal', 'confund', 'hom', 'porc', '@', 'homemdeverdad', '@', 'homemdeverdad', 'sab', 'bem', 'hor', 'lav', 'mão']",0,106,0,0,0
"['@', 'homemdeverdad', 'usa', 'barb', 'bigod', 'cois', 'pel', 'lis', 'pra', 'gent', 'bund', 'mulh']",1,96,0,1,1
"['@', 'luizsergiov', 'ser', 'pó', 'modern', 'cois', '@', 'homemdeverdad', 'portant', '@', 'fodem']",1,83,0,0,0
"['@', 'homemdeverdad', 'peg', 'fort', 'cint', 'fême', 'cois', 'delicad', 'ness', 'hor', 'dess', 'jony', 'mané', 'citr', 'bund', 'mol']",1,132,0,1,3
"['@', 'homemdeverdad', 'pod', 'ser', 'vegetari', 'gent', 'sempr', 'top', 'cade', 'aliment']",1,91,0,0,0
"['fat', 'plen', 'extinç', 'mund', 'send', 'domin', 'bibasex', 'creminhosex', 'saladinhasex', 'metrosexufrang']",1,130,0,1,4
"['foc', 'resist', 'antifrang', 'modern', 'culh']",0,62,0,1,1
"['confiss', '@', 'homemdeverdad', 'hor', 'banh', 'tom', 'press', 'curt', 'águ', 'limp', 'umbig', 'soc', 'bronh', 'melhor', 'part']",1,137,0,1,1
"['vc', 'namor', 'diz', 'olh', 'gost', 'bat', 'uma', 'nunc', 'fuj', 'frang', 'carát']",1,129,0,0,1
"['rt', '@', 'het', 'cientific', 'comprov', 'curt', 'porn', '@', 'homemdeverdad']",1,87,0,0,1
"['rt', '@', 'gmarangon', 'terry', 'richardson', 'fotógraf', 'calend', 'pirel', '2010', 'profiss', '@', 'homemdeverdad']",0,129,0,0,2
"['@', 'homemdeverdad', 'gost', '@', 'averdadeh', 'rodei']",0,56,0,0,0
"['enciclopéd', '@', 'homemdeverdad', 'futebol', 'hor', 'sagr', 'churrasc', 'cervej', 'gel', 'gost', 'vaz', 'fême', 'shopping']",1,118,0,0,0
"['mestr', 'carinholuiz', 'carl', 'alborghet', '120219459122009', 'jornal', 'radial', 'culh', '@', 'homemdeverdad', 'rip']",0,132,0,1,2
"['@', 'xtrabold', 'clar', '@', 'homemdeverdad', 'coment', 'nad', 'porqu', 'algum', 'hor', 'lut', 'reflex', 'sobr', 'obr', 'brind', 'mestr']",0,138,0,0,0
"['@', 'dadoqueiroz', '@', 'homemdeverdad', 'acompanh', 'tim', 'menin']",1,59,0,0,0
"['@', 'homemdeverdad', 'mand', 'salv', 'pra', 'imag', 'seman', 'am']",0,92,0,0,0
"['@', 'homemdeverdad', 'fez', 'serviç', 'car', 'silvi', 'berluscon']",0,61,0,0,2
"['@', 'lenaz', '@', 'homemdeverdad', 'ter', '2', 'filh', '24', 'territóri', 'escolh']",1,89,0,0,0
"['rt', '@', 'lenaz', '@', 'homemdeverdad', 'nao', 'pag', 'pau', 'pag', 'mocre', 'tir', 'zic']",1,81,0,2,2
"['pra', 'deix', 'clar', '@', 'homemdeverdad', 'faz', 'club', 'mach', 'turm', 'fod', 'merd', 'mach', 'baitol', 'recat']",1,125,0,3,3
"['rt', '@', 'chastinet', 'pro', '@', 'homemdeverdad', 'construç', 'resum', 'dua', 'cois', 'concret', 'mad']",1,90,0,0,0
"['rt', '@', 'lenaz', '@', 'homemdeverdad', 'eh', 'akel', 'q', 'sab', 'procri', 'deix', 'vestigi']",1,78,0,0,1
"['sugest', '2010', 'melhor', 'canon', 'punhet', 'sant', 'punhet', 'sagr', 'bronh', 'doming', 'melhor', 'amig', '@', 'homemdeverdad']",1,131,0,2,1
"['sugest', '2010', 'melhor', 'coloc', 'chuck', 'noril', 'protagon', 'séri', 'tv', '24h']",0,90,0,0,2
"['sugest', '2010', 'melhor', 'menos', 'calc', 'pret', 'rádi', 'aliás', 'calc', 'bem', 'melhor']",0,97,0,0,0
"['melhor', 'mulh', 'quer', 'trep', 'pi', 'quer', 'lemy', 'motörhead', '@', 'homemdeverdad']",1,130,0,1,2
"['hom', 'verdad', 'sab', 'desenh', 'pint', 'conhec', 'pau', 'honr', 'pint']",1,95,0,2,0
"['@', 'homemdeverdad', 'viv', 'dign', 'conceit', 'extinç', 'plen', 'aqu', 'foc', 'resist']",0,104,0,0,0
"['gost', 'mulh', 'ter', 'vergonh', '#', 'twitealgomuitoantig']",0,56,0,0,0
"['heterosex', 'hom', 'verdad', '#', 'twitealgomuitoantig']",1,54,0,0,0
"['sab', 'peg', 'mulh', 'parec', 'babac', '#', 'twitealgomuitoantig']",1,67,0,1,0
"['geisy', 'fant', 'deu', 'not', '8', 'má', 'notic', 'geisy', 'ileg', 'gent', 'dar', 'not', 'vc', '4', 'ruim']",0,123,0,0,2
"['@', 'lenaz', 'parametr', 'not', 'complex', 'resum', 'marlen', 'mat', '0', 'monic', 'beluc', '10', 'vc', 'peg', 'part', '5', 'bom']",1,137,0,0,3
