text,hate_speech
"CAIO_BLIND Eles rezam lindos ... O problema é que torres, boates e embaixadas explodem",1
"É espantosa a total falta de nível dos comentários de certos jovens da esquerda caviar.
Apenas se safam aqueles que têm algum humor.",0
RT @cusBahia: Arquivo: Zapatao é uma revolução! Existências e resistências de lésbicas em cruzamentos subordinados. Até 26/3 https: // t. _,1
"a PM tem é que entrar metendo o cacete nessas escolas ocupadas
bando de vagabundo que nao quer estudar e fica morando na porra da escola",0
'Heranca do governo anterior',0
"#Agenda Março 18 e 19.
 Simpósio sobre Ideologia de Gênero.",0
"@ carol_moura13 @ RitaBranco02 Uau, Fufa tratam-se mutuamente",1
@CapitalismoOP nem liga... pra esse povo mimizento....,0
"'Eu espero que você seja um troll, mas você pode ver que você é realmente ignorante'",1
"Os portugueses devem muito a Passos Coelho por ter tido a coragem de dizer NÃO a Salgado. ""NÃO stresses, Ricardo, leva o guito pró Panamá.""",0
"@vanzkafka pra mesmo qdo a gente estiver brigado, eu lembrar que amo ela :)",0
"RT @wantodiepls: ""já não me imagino sem ti.""",0
hahahahah olha que coisa! os que mais vivem em mimimi me acusando de mimi  hahahahah https://t.co/IX6VzBQNbX,0
"RT @GABRIELPlNHEIRO: Nem todo trans é estuprador mas existem, sim Não vamos deixar as meninas com homens no banheiras sozinhas https://t.co _",1
"Com Miguel Relvas no Conselho Leonino do Sporting os títulos estão garantidos! E se necessário for, pede umas equivalências na Lusófona...",0
@catracalivre As mulheres que não têm o apoio das feministas: aquelas que lutam contra os ditadores da Esquerda! https://t.co/15MWdmzZUD,1
RT @Theocoxinha: sexo com animais pode ser um importante indicador de potencial ou co-ocorrência de crimes sexuais contra crianças e mulher _,0
"guiwdeJosyTelles_REAL Receber refugiadas loiras não está na moda, nem deixa ninguém feliz. Mas se eles são pessoas LGBT ...",1
"RT @DoutorMadureira: Lá porque o Dr.Árbitro Luís Ferreira foi o advogado de defesa dos árbitros corruptos condenados no ""Apito Dourado"" não _",0
'Prefiro ver o Lula morto',1
LOL Eles não têm vergonha. E seis milhões de passagens aéreas da AID para refugiados já estão aqui? https://t.co/JHAdv7DClo,1
Alguém sabe se o Habibs já abriu falência com o boicote por causa do menino que morreu de tanto usar droga?,0
"RT @jpintocoelho60: Duas evidências! Consequência: volta para tua casa, faz boa viagem!
#ImigraçãoInvasora #Islão
@realDonaldTrump https:// _",1
'Fica ai Janete traste inutil Destruiu o brasil vaca',1
RT @MRLeoBen: Se for assim meus filhos já não vão ver Disney.. https://t.co/c5IB1MluPc,0
"Fátima Bernardes não pára de repetir ""o estrago que o homem branco causou"" ao chegar no Brasil. 
Vai estudar, vai, sua besta!",1
"Esta notícia é de DEZEMBRO, notícia Velha.Mas por falta de assunto, a Isto é publicou novamente ,para difamar o... https://t.co/5B9UDtkY3J",0
Querendo comer alguns seguidores,1
RT @joanag129: Que lindo é vermelho e branco  #carregabenfica #TheWalkingDead https://t.co/rbBjoUxPlB,0
RT @EtBipolar: nois dá conselho mas no fundo nois que tá precisando,0
'E tao retardada que foi comemorar o dia das bruxas no Uruguai em novembro',1
"RT @ vascof87: @ carol_moura13 @ RitaBranco02 Opa, fufas tratam-se mutuamente",1
@RaquelRangel0 fala isso pro goleiro bruno,0
"Difícil para um homem estúpido e inseguro que nunca conquistou nada morando com uma mulher bonita, inteligente e independente, certo? É uma vergonha",1
Pra mim BBB sempre foi uma merda,0
Homem que é homem brinca de girocóptero no banheiro da casa da sogra.,1
Eu não vou conseguir lidar com tantos dokes em uma sala que fica olhando para mim ..,1
#SddsDeQuandoEu podia trocar a lâmpada sem que ninguém falasse q eu estou me apropriando da cultura dos homens,0
'Quem que era mesmo o Homem mais honesto do Brasil',0
`` Este terrorista não será preso por roubar e atrasar um país que em breve morrerá demônio '',1
"RT @arabiangirlxx: A doença mais comum em Angola. Os pacientes perguntam 'Doutor, o que devo fazer?' Nada filho nao",1
União Europeia quer multar países que não abrigarem refugiados. Entendem agora porque tudo isso vai ruir?#Europaxit,1
"Terrível! Acabo de descobrir que Obama ""grampeou"" meu telefone na Trump Tower pouco antes da vitória. Nada encontra _ https://t.co/7Q8LZrR9q9",0
MDS essa mulher que namora aqui é um cara muito estúpido,1
"Nem eu tô me reconhecendo mais !
Eita mulher burra",1
@Ricardohdc po ai estúpida msm ... mas se você souber que trabalho novo você não vai poder se formar daqui a três meses,1
"Atrasada (@ Universidade Castelo Branco - @ucbrj in Rio de Janeiro, RJ w/ @lupsfreire) https://t.co/jLzVDVRJqG",0
dps ontem eu pensei qro qro um sapato p chamo d meu amor camiaozino,1
"Lembrei-me de quando meu pai ligou para uma mulher estúpida e ele acabou na delegacia de polícia
""ele disse que eu sou estúpido""
""Eu disse que ela é realmente estúpida""",1
O @jairbolsonaro nem assumiu e já causa esse choro todo na pelegada em pleno começo de 2017. Imagine como será ano _ https://t.co/3qjpcW4GtH,0
'Eu era um monstro',1
'Além de estúpido e analfabeto',1
"RT @rpsantos1970: Ontem tivemos mais uma reunião do Conselho Nacional do PNR
#Portugal #Política #RogérioSantos #RenovarPortugal https://t. _",0
Ótima sessão de audiência com os CEOs da Associação de Líderes da Indústria de Varejo esta manhã! https://t.co/MLJ6yjsNao,0
'Cada mortal é uma vítima de sua própria ignorância',1
'VAO BATE PANELASSEUS BURROSBEM FEITO',1
O homem @BrendaPaesGp que conserta roupas íntimas está tentando usá-las,1
@RedeGlobo Acabei de notar os peitos grandes da Ana Paula a merda que vocês escrevem Eu nem me surpreendo mais,1
- Ele disse que Damit não conseguiu passar em um concurso até ser bem-sucedido.,1
Mulheres não confiam em mulheres. Nem nelas mesmas https://t.co/HjYX07Uja3,0
"Comigo na Câmara de Lisboa, a #Emel é que seria ""bloqueada"".
@cmlisboa @FMedina_PCML 
@pnr https://t.co/AFhVToC7Ta",0
"Quanto amo meu deus
09/03/17 10:12:01: Sapatão: Amo minha vida. Meu coração do meu corpo",1
"@InesBolsonaro tem mulheres boas...e tem mulher que rouba, que mente, que é dissimulada, que roubou aposentados, co _ https://t.co/LGvlHNi5b7",0
"@SERGIOMOROROCKS @jornalnacional 
Daqui a pouco começa @jornaldarecord 
Jornalismo de verdade. 
Vai mostrar a roubalheira no BNDES.",0
"@gabrielaltairc eu to falando dos refugiados da Síria, eles nao vem pra ca, tem um milhao de abrigos em outros paises que acolhe eles",0
Passando aqui pra desejar feliz #DiadaMulher  pra quem é mulher desde o ultrassom,1
Quando expor seu ex no Facebook não é suficiente ... https://t.co/jSgiHNjhxW,1
"Não comece o seu dia com os mesmos problemas dos dias anteriores, hoje é o primeiro dia dos restantes dias da sua v _ https://t.co/0xpvp6GNW3",0
"Destruição na Suécia. 
Manda mais muçulmano pra lá.
Quando a coisa fugir do controle os suecos paumolengas vão reag _ https://t.co/Cg89atylBx",1
"TPM é uma merda, me sinto gorda e feia",1
"Minha mãe desiste de eu ser gordo e feio e nunca mais volta. Se você não gosta, lembre-se de que foi você quem fez o trabalho ruim.",1
'Sejam honestos aprovem o projeto original vamos acabar com esta farra no Brasil',0
galera p comemorar o Dia Internacional da Síndrome de Down meu priminho vai mandar um recado pra vcs no proximo tweet *__*,0
"Mulheres são perfeitas: lindas, trabalhadoras, falavam feministas e não têm FEICEBUK.
Acho que vou perguntar a você em CAS_https: //t.co/7BEgP3dEdP",1
"O Lula falou que o melhor que a Marisa fez foi ficar submissa a ele e não dar palpite. A platéia, repleta de femini _ https://t.co/25zXrS30ef",0
"Quando for Presidente desse país, darei passagens p/ bichas todas irem pra Argentina serem governadas pelo lindo(sqn) do Maurício Macri! ",0
RT @LuanaPiovaniLP: A corrupta da Dilma recebeu 150 milhões em propina e disse q delação da Odebrecht é um 'insulto à sua honestidade'. Qua _,0
"""Incentivando o Cruz a escalar e enfrentar o Aldo, alguns golpes baixos do Brasil agora são suficientes para destruir os joelhos do Cruz e acabar com ele bastardo.""",1
Palavras do Presidente Trump na Assinatura da Resolução H.J. 41' https://t.co/TlMa3FK1Un,0
'Nao pode ser serio o que acabei de ler',0
"só os machos que chamam as mulheres de ""feminazi"" ""puta"" ""burra"" o ano todo pagam p feminista e superam esse ódio !!!!",1
"Atenção..dia 8 de Março, amanhã..de os parabéns para as pessoas certas !!  @TonhoDrinks @o_colecionador @_opressor _ https://t.co/5mlejxnHL5",0
PAI DA FEMINISTA SAIU PRA COMPRAR CIGARRO NO 2º GOL DO ZIDANE EM 1.998 E NUNCA MAIS VOLTOU  #JoaquinResponde https://t.co/EzreOGNSJa,1
por que não posso chamá-lo de PRETO se ele me chama de BRANCO BRANCO,1
7 PICA DOS ALEMÃO https://t.co/XtZLBuzP99,0
"RT @ofuxicogospel: O Globo cria debate negativo sobre a 'Psicologia Cristã'. Dra. @marisa_lobo fala sobre o caso.
https://t.co/Zswd3njoDo",0
"RT @sadcharlott: Homens não gostam de mulheres, homens gostam de feminilidade que gostam de mulheres",1
"A mídia de NOTÍCIAS FALSAS que inventa histórias e ""fontes"" é mais eficaz que os democratas desmoralizados - mas is _ https://t.co/9HbvTqEapk",0
