data,Hate,length,laughs,bad_words,misspell
"['""não', 'come', 'mel,', 'morde', 'marimbondo""']",0,32,0,0,4
"['pinto,', 'orgulho', '!']",0,28,0,1,5
"['não', 'vê', 'merda', 'crepúsculo!', 'pra', 'cinebiografia', 'chuck', 'norris....']",0,83,0,1,14
"['tapa', 'bundinha,', 'cotovelada', 'costas', '!']",0,51,0,0,9
"['diminutivo', 'inho', 'acompanha', 'trajetória', 'homem', 'de', 'verdade.']",1,68,0,0,11
"['uns', 'saco,', 'culhões', '!!!!!!!!!!!!!!!!!!!']",0,51,0,1,7
"['esse', 'futebol', 'hoje', '""politicamente', 'correto""', '""profissional""', 'coisa', 'homem', 'verdade...é', 'mariquinha..futebol', 'ter', 'porr']",1,140,0,3,20
"['água', 'ser', 'essencial', 'coisa', 'maricas.', 'cerveja', 'essencial', '!']",1,60,0,1,10
"['""....não', 'barriga', 'calo', 'sexual...""']",0,40,0,0,5
"['""....não', 'manda', 'ajustar', 'calça,', 'deixa', 'espaço', 'pra', 'smith', '&', 'wesson', 'entrar', 'ação.""']",0,87,0,0,15
"['morte', 'hipsters', 'camisetas', 'cores', 'citricas,', 'morte', 'meias', 'coloridinhas', 'cuequinhas', 'alegres.']",0,104,0,1,16
"['@homemdeverdade', 'namorada,', 'fêmea', 'temporária.']",1,55,0,0,6
"['apesar', 'serem', 'australia,', 'ac/dc', 'banda', 'homens', 'verdade!']",0,69,0,0,12
"['@homemdeverdade', 'come', 'frango', 'cru', 'nao', '""', 'passarinho', '""', '!']",0,54,0,0,9
"['fato:', 'tem', 'muita', 'mulher', '@homemdeverdade', 'mariquinha', 'fresco', 'ai', '!']",1,95,0,1,16
"['@homemdeverdade', 'usa', 'capa', 'chuva,', '@homemdeverdade', 'nada', 'tsunami', '!']",1,73,0,0,11
"['gosta', 'ac/dc', '@fodemal', '@homemdeverdade', '!']",1,58,0,0,10
"['jamais', 'confunda', 'homem', 'porco', '@homemdeverdade,', '@homemdeverdade', 'sabe', 'bem', 'hora', 'lavar', 'mãos', '!']",0,106,0,0,18
"['@homemdeverdade', 'usa', 'barba', 'bigode,', 'coisa', 'pelinha', 'lisinha', 'pra', 'gente', 'bunda', 'mulher', '!']",1,96,0,1,16
"['@luizsergiovo', ':', 'ser', 'pós', 'moderno', 'coisa', '@homemdeverdade,', 'portanto', '@fodemal', '!']",1,83,0,0,12
"['@homemdeverdade', 'pega', 'forte', 'cintura', 'fêmea,', 'coisa', 'delicadeza', 'nessas', 'horas', 'desses', 'jonnys', 'manés', 'citricos', 'bunda', 'mole!']",1,132,0,1,20
"['@homemdeverdade', 'pode', 'ser', 'vegetariano,', 'gente', 'sempre', 'topo', 'cadeia', 'alimentar', '!']",1,91,0,0,14
"['fato:', 'estamos', 'plena', 'extinção,', 'mundo', 'sendo', 'dominado', 'bibasexuais,', 'creminhosexuais,', 'saladinhasexuais,', 'metrosexufrangas!']",1,130,0,1,14
"['somos', 'foco', 'resistência', 'antifrangas', 'modernas', 'culhões', '!']",0,62,0,1,10
"['confissões', '@homemdeverdade', ':', 'na', 'hora', 'banho,', 'toma', 'pressa,', 'curte', 'água,', 'limpa', 'umbigo', 'soca', 'bronha', '(melhor', 'parte)', '!']",1,137,0,2,26
"['se', 'vc', 'namorado', 'diz', 'olha', 'gostosas', 'que\nnão', 'bate', 'umazinha', 'nunca!', 'fuja:', 'franguinha', 'caráter', '!!!']",1,129,0,0,25
"['rt', '@heto:', 'cientificamente', 'comprovado.', 'curte', 'pornozinho,', '@homemdeverdad']",1,87,0,1,11
"['rt', '@gmarangoni', 'terry', 'richardson,', 'fotógrafo', 'calendário', 'pirelli', '2010,', 'profissão:', '@homemdeverdade', '-', 'http://tinyurl.com/yghn7o']",0,129,0,0,13
"['@homemdeverdade', 'gosta', '@averdadeeh', 'rodeios....']",0,56,0,0,5
"['enciclopédia', '@homemdeverdade', ':', 'futebol', '=', 'hora', 'sagrada,', 'churrasco,', 'cerveja', 'gelada,', 'gosta', 'vaza!', 'fêmeas', 'shopping', '!']",1,118,0,0,16
"['ao', 'mestre', 'carinho...luiz', 'carlos', 'alborghetti', '(12/02/1945-9/12/2009):', 'jornalista,', 'radialista', 'culhões', '@homemdeverdade', 'r.i.p.!']",0,132,0,1,14
"['@xxxtrabold', 'claro!', '@homemdeverdade', 'comentou', 'nada', 'porque', 'algumas', 'horas', 'luto', 'reflexão', 'sobre', 'obra.', 'brinde', 'mestre...']",0,138,0,0,20
"['@dadoqueiroz', '@homemdeverdade', 'acompanha', 'time', 'meninas!']",1,59,0,0,6
"['@homemdeverdade', 'manda', 'salve', 'pra', 'imagem', 'semana:', 'amamos!!!\n-', 'http://bit.ly/7uebm0']",0,92,0,0,12
"['@homemdeverdade', 'fez', 'serviço', 'cara', 'silvio', 'berlusconi', '!']",0,61,0,0,9
"['@lenazzo,', '@homemdeverdade', 'mesmo,', 'ter', '2', 'filhos', '24', 'territórios', 'escolha....']",1,89,0,0,13
"['rt', '@lenazzo', '@homemdeverdade', 'nao', 'paga', 'pau.', 'ele', 'paga', 'mocreia', 'tirar', 'zica.']",1,81,0,1,13
"['só', 'pra', 'deixar', 'claro,', '@homemdeverdade', 'faz', 'clube', 'macho,', 'turminha', 'foda,', 'merdas', 'machistas', 'baitolas', 'recatadas', '!']",1,125,0,3,19
"['rt', '@chastinet:', 'pro', '@homemdeverdade', 'construção', 'resume', 'duas', 'coisas:', 'concreto', 'madeira.']",1,90,0,0,12
"['rt', '@lenazzo:', 'um', '@homemdeverdade', 'eh', 'akele', 'q', 'sabe', 'procriar', 'deixar', 'vestigios.']",1,78,0,0,11
"['sugestões', '2010', 'melhor:', 'canonizar', 'punheta,', 'santa', 'punheta,', 'sagrada', 'bronha', 'domingo.', 'melhor', 'amiga', '@homemdeverdade', '!']",1,131,0,0,21
"['sugestões', '2010', 'melhor:', 'colocar', 'chuck', 'norris', 'protagonista', 'série', 'tv', '24hs!']",0,90,0,0,15
"['sugestões', '2010', 'melhor:', 'menos', 'calcinha', 'preta', 'rádios,', 'aliás,', 'calcinha', 'bem', 'melhor!']",0,97,0,0,16
"['""as', 'melhores', 'mulheres', 'querem', 'trepar', 'você,', 'piores', 'querem.""', '-', 'lemmy', '-', 'motörhead', '-', '@homemdeverdad']",1,130,0,1,24
"['homem', 'verdade', 'sabe', 'desenhar', 'pinto,', 'conhece', 'pau', 'tem!', 'honre', 'pinto!!!!']",1,95,0,1,17
"['@homemdeverdade', 'viver', 'dignidade,', 'conceito', 'extinção', 'plena', '!', 'aqui', 'foco', 'resistência!']",0,104,0,0,17
"['gostar', 'mulher', 'ter', 'vergonha', '#twittealgomuitoantig']",0,56,0,0,6
"['heterosexual', 'homem', 'verdade', '#twittealgomuitoantig']",1,54,0,0,5
"['saber', 'pegar', 'mulher', 'parecer', 'babaca', '#twittealgomuitoantig']",1,67,0,1,8
"['geisy', 'fantástico', 'deu', 'nota', '8!', 'más', 'noticias', 'geisy,', 'ilegal,', 'gente', 'dar', 'nota.', 'e', 'vc', '4', 'ruim', '!']",0,123,0,0,28
"['@lenazzo', 'parametros', 'notas', 'complexos,', 'resumo:', 'marlene', 'mattos', '0,', 'monica', 'bellucci', '10', 'vc', 'pegaria', 'partir', '5', 'bom...']",1,137,0,0,25
"['@homemdeverdade', 'fala', 'boquete,', 'recebe.', 'rt', '@sarahshoeme', '""""liberdade""...', 'significa', 'falar', 'boquete', 'fala', 'clima....""']",0,132,0,1,17
"['vão', 'comer', 'arroz', 'feijão', 'fdp', 'frescos', 'caralho', '!!!!!!']",1,59,0,2,10
"['rt', 'um', '@homemdeverdade!', 'rt', '@porcopedia', 'pra', 'vc', 'desmaia', 'qdo', 'tira', 'sangue', '...', 'chegou', 'plano', 'odontomacho:', 'http://307.to/fnj', '/(via', '@lenazzo)']",0,138,0,0,19
"['se', 'kassabe', '@homemdeverdade', 'diria', '""a', 'culpa', 'minha,', 'fiz', 'projeto', 'algum', 'chuvas', 'vcs', 'povão', 'porco', 'cobra', 'nada""']",0,136,0,1,25
"['sobreviver', 'haiti,', 'missão:', '@homemdeverdade', 'mesmo!']",0,51,0,0,5
"['@mariolemes', 'vc', '@homemdeverdade', '?', 'e', 'twitter', '?']",1,50,0,0,8
"['video', 'clipe', 'semana:', 'http://www.youtube.com/watch?v=iqghq0ilvok']",0,65,0,0,4
"['@homemdeverdade', 'usa', 'twitter', '?', 'pergunta', 'fazem', 'todo', 'momento....', '!']",0,73,0,1,12
"['claro', 'sim,', 'vc', 'ser', 'babaca', 'nerds,', 'valentão', 'rede,', 'mulher', 'imbecil,', 'hipster', 'freak', 'viciado', 'celebridades.']",1,133,0,2,24
"['a', 'propósito', '@homemdeverdade', 'vai', 'campus', 'party,', 'lugar', 'baitolinhas', 'amigos', 'reais!!!!', 'virgem', 'também.']",1,116,0,0,17
"['@homemdeverdade', '?', 'não!', 'homem', 'metade', '-', 'http://19.media.tumblr.com/tumblr_ktygckpa2e1qz88eno1_400.jpg']",0,102,0,0,7
"['@homemdeverdade', 'precisa', '#lingerieday,', 'puta', 'parada', 'barangas-nerds', 'atrás', 'rolas', 'virgens!', 'pra', 'sites', 'pornôs', 'bem', 'melhores...']",1,140,0,2,19
"['#campusparty!', 'esse', 'lugar', 'deve', 'feder', 'espinha', 'azeda', 'passou', 'validade,', 'menos', 'mulher', 'vale', 'tudo', 'juazeiro', '!']",1,128,0,0,22
"['quando', '@homemdeverdade', 'viu', '#ipad', 'gritou:', 'steve!!!', 'mesa', '7,', '2', 'cervejas,', '4', 'copos', 'americanos,', 'porção', 'fritas', 'outrade', 'calabresa!']",0,135,0,0,21
"['homem', 'homem', 'conhece', 'dois', 'cheiros', 'mulher:', 'bom', 'ruim.']",1,68,0,0,14
"['usa', 'camiseta', 'manga,', 'menos', 'vá', 'malhar', 'praticar', 'algum', 'esporte.']",0,76,0,0,13
"['""deus', 'justo,', 'calça', 'carol...', 'mamãeeee!""']",0,49,0,0,8
"['faz', 'campeonato', 'peido', 'amigos.']",0,38,0,1,6
"['bebe', 'cana', 'pura', 'faz', 'careta.']",0,32,0,0,6
"['homem', 'homem', 'arrota', 'suco', 'laranja.']",1,45,0,0,8
"['palavra', 'dia', 'homem', 'homem', 'diz:', 'fragrância.']",1,57,0,0,10
"['homem', 'homem', 'arrota', 'suco', 'laranja,', 'ouvido', 'namorada.']",1,68,0,0,12
"['homem', 'homem', 'come', 'carne.', 'peixe', 'coisa', 'bixa.']",1,55,0,1,11
"['faz', 'pontaria', 'qlq', 'coisa', 'q', 'der', 'telha', 'jato', 'mijo.']",0,58,0,1,12
"['lava', 'cueca', 'q', 'acabou', 'comprar', 'antes', 'us']",0,55,0,1,10
"['homem', 'homem', 'brinca', 'girocóptero', 'banheiro', 'casa', 'sogra.']",1,69,0,0,12
"['conhece', 'três', 'cores:', 'azul,', 'vermelho', 'amarelo.']",0,45,0,0,6
"['homem', 'homem', 'come', 'doritos', 'pimenta', 'geléia', 'extra-forte', 'pimenta', 'guaraná', 'ice.']",1,90,0,0,15
"['o', 'porteiro', '@homemdeverdade!', 'rt', '@_latinlover_', 'massagear', 'ego', 'mulher', 'elogiar', 'bunda', 'peitos.', 'isso', 'porteiro', 'faz']",0,135,0,1,23
"['mão', 'homem,', 'seja,', 'calos.']",1,37,0,0,7
"['homem', 'homem', 'assiste', 'fazenda.']",1,40,0,0,7
"['""musical?', 'kiporréssa?!""', 'por', 'homem', 'hom']",1,48,0,0,7
"['sexo-churrasco-cerveja-dormir', '!', '#carnavalem4palavr']",0,52,0,0,2
"['homem', 'homem', 'nota', 'esmalte', 'mulh']",1,49,0,0,9
"['homem', 'homem', 'come;', 'bebe.']",1,33,0,0,6
"['homem', 'homem', 'troca', 'pênis', '1', 'fígado', 'mais.']",1,52,0,1,12
