data,Hate.speech
"""não come mel, morde marimbondo""",0
"não tem pinto, tem orgulho !",0
Não vê essa merda de Crepúsculo! Pra isso temos a cinebiografia do Chuck Norris....,0
"não da tapa na bundinha, da cotovelada nas costas !",0
o diminutivo INHO não acompanha a trajetória de um HOMEM DE VERDADE.,1
"uns tem saco, nós temos culhões !!!!!!!!!!!!!!!!!!!",0
"Esse futebol de hoje ""politicamente correto"" e ""profissional"" não é coisa de homem de verdade...é de mariquinha..futebol tem que ter porrada",1
água ser essencial é coisa de maricas. Cerveja é essencial !,1
"""....não tem barriga tem calo sexual...""",0
"""....não manda ajustar a calça, deixa um espaço pra sua Smith & Wesson entrar em ação.""",0
"Morte aos hipsters a as camisetas de cores citricas, morte a meias coloridinhas e as cuequinhas alegres.",0
"@homemdeverdade não tem namorada, tem fêmea temporária.",1
"Apesar de serem da Australia, AC/DC é uma banda de homens de verdade!",0
"@homemdeverdade come frango cru nao a "" passarinho "" !",0
FATO: Tem muita mulher que é muito mais @homemdeverdade do que muito mariquinha fresco por ai !,1
"@Homemdeverdade não usa capa de chuva,  @Homemdeverdade nada em tsunami !",1
quem não gosta de AC/DC @fodemal e não é @homemdeverdade !,1
"Jamais confunda um homem porco a um @homemdeverdade, um @homemdeverdade sabe bem a hora de lavar as mãos !",0
"@homemdeverdade usa barba ou bigode, essa coisa de pelinha lisinha pra gente é bunda de mulher !",1
"@luizsergiovo : ser pós moderno não é coisa de @homemdeverdade, portanto @fodemal !",1
"@homemdeverdade pega forte na cintura da sua fêmea, essa coisa de delicadeza nessas horas é desses Jonnys Manés Citricos bunda mole!",1
"@homemdeverdade não pode ser vegetariano, a gente esta sempre no topo da cadeia alimentar !",1
"FATO: Estamos em plena extinção, o mundo esta sendo dominado por bibasexuais, creminhosexuais, saladinhasexuais, metrosexufrangas!",1
Somos o foco da resistência antifrangas modernas sem culhões !,0
"Confissões de um @homemdeverdade : Na hora do banho, toma sem pressa, curte a água, não limpa o umbigo e soca uma bronha (melhor parte) !",1
"Se vc tem um namorado que diz que não olha para as gostosas e que
não bate umazinha nunca! FUJA: é uma franguinha sem caráter !!!",1
"RT @heto: cientificamente comprovado. se não curte um pornozinho, não é @homemdeverdade",1
"RT @gmarangoni Terry Richardson, fotógrafo do calendário da Pirelli 2010, profissão: @homemdeverdade - http://tinyurl.com/yghn7oa",0
@homemdeverdade gosta quando @averdadeeh sem rodeios....,0
"Enciclopédia @homemdeverdade : Futebol = hora sagrada, churrasco, cerveja gelada, não gosta vaza! fêmeas no shopping !",1
"Ao mestre com carinho...Luiz Carlos Alborghetti (12/02/1945-9/12/2009): jornalista, radialista com culhões e @homemdeverdade R.I.P.!",0
